id,sbid,uniq_name,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,mwdet
260,33047,J055242-685110-33047,J055242-685110,SB33047_component_124a,88.177521,-68.852967,279.0544356504779,-30.441222249320347,B,36.5260009765625,47.67499923706055,0.0001892318497727,0.1113219804359967,0.6913166554054111,1.2170833998920012,1.3118135544378198,43.0,0.6204968990324087,280.92878010796795,0.4772346718803276,0.2105458020139541,False,False,5.635000228881836,4.059999942779541,79.25,1.4528760345127425e+21,False,-0.0049915021540656,False
261,33047,J055048-703432-33047,J055048-703432,SB33047_component_125a,87.701638,-70.575828,281.06157466069976,-30.492209684443477,B,32.48600006103516,40.80400085449219,0.0002402772317908,0.0765564665578986,0.5182744787826786,0.9826860951797144,1.261400168207515,92.0,0.7431256894248365,218.97213096465555,0.2968900838001465,0.1013465144431238,False,False,5.335000038146973,4.125,91.1500015258789,1.207117368880069e+21,False,0.0040793525804302,False
262,33047,J055050-703436-33047,J055050-703436,SB33047_component_125b,87.708381,-70.576709,281.0623891844591,-30.48990493598265,B,28.840999603271484,32.63199996948242,0.0002913358395922,0.088413887175248,0.5360264205969446,0.9774043604364012,1.2710757755579374,130.0,0.7350493549609928,-84.93358591507483,0.3078176324169414,0.1135812659132786,False,False,5.045000076293945,3.930000066757202,79.38999938964844,1.207117368880069e+21,False,0.0058834821231492,False
263,33047,J060605-674256-33047,J060605-674256,SB33047_component_126a,91.523288,-67.715786,277.715380268919,-29.22668325583749,B,36.39300155639648,44.87300109863281,0.0001879803700675,0.1701742704478323,0.991057757692393,0.7001144039157667,1.5829359220825092,91.0,0.5918781643901162,2.796339774424967,0.5244544686736301,0.2907638920860306,False,False,5.170000076293945,4.179999828338623,78.16000366210938,9.177821889457406e+18,False,0.0037181974692429,False
265,33047,J055626-720623-33047,J055626-720623,SB33047_component_127b,89.108923,-72.10641,282.7887399486221,-29.92889444999233,C,18.999000549316406,23.766000747680664,0.0001021436259284,0.2950824506680251,1.780027156520841,1.0294200137411924,1.877111265518368,86.0,0.097084108997527,103.50346543597068,2.3321775731281558,1.3961515576453376,False,False,5.289999961853027,4.144999980926514,92.1999969482422,3.305043856604185e+20,False,-0.00035066477119,False
268,33047,J054127-673952-33047,J054127-673952,SB33047_component_128a,85.363727,-67.664557,277.75709180108163,-31.564263501352304,B,33.11000061035156,56.2869987487793,0.0001595818314854,0.1032991745549681,0.8319031244946612,1.345290098321332,1.3547122486425476,105.0,0.5228091241478864,3.3288442030469305,0.6485388449209227,0.2141815738951644,True,False,6.059999942779541,4.914999961853027,178.3000030517578,1.1311875818647642e+21,False,0.0007729703995755,True
269,33047,J060234-704156-33047,J060234-704156,SB33047_component_129a,90.645489,-70.699074,281.14178482453246,-29.51099643100436,B,36.10599899291992,42.37099838256836,0.0002048953255347,0.1206396400652611,0.8665224380437377,0.9558806726752048,1.443034409076976,72.0,0.5765119710332383,231.944412006137,0.5507591744699867,0.1900454195790559,False,False,5.09499979019165,4.034999847412109,89.55000305175781,3.210520612404964e+20,False,-0.0037258640123808,False
270,33047,J054024-694014-33047,J054024-694014,SB33047_component_130a,85.103187,-69.670741,280.10965901332474,-31.45818239793507,A,30.94099998474121,141.30099487304688,8.887051409124624e-05,0.0348831803856025,1.0028346583034788,6.794475383877084,1.1286596735397805,101.0,0.1258250152363013,234.5095886100009,2.072863105228512,0.3569016620628156,True,True,9.619999885559082,8.319999694824219,76.5999984741211,4.561464570728586e+21,False,-0.0105658864313521,True
271,33047,J060749-683845-33047,J060749-683845,SB33047_component_131a,91.957648,-68.645846,278.78240486279327,-29.07605930461734,C,30.10099983215332,34.50899887084961,0.0001750218761749,0.2494998084122553,1.9467529509172672,0.6492721847271211,2.180370935097875,78.0,0.2336179841806077,-6.160237139495933,1.4540680439168985,0.8017936475113299,False,False,4.989999771118164,4.025000095367432,76.47000122070312,1.2019103937636942e+20,False,0.0069569697993988,False
273,33047,J053736-680033-33047,J053736-680033,SB33047_component_132a,84.403766,-68.00939,278.2018250871645,-31.891305497408133,B,34.71699905395508,48.14599990844727,0.000187401857879,0.1127157934229989,0.723477439873539,1.5405214135741496,1.2847751788305968,66.0,0.5612977389570578,273.83232118284496,0.5775037852675415,0.2196967668980394,False,True,5.159999847412109,4.710000038146973,73.83000183105469,9.819755326818136e+20,False,-0.0015083137265179,False
