comp_name,sbid,ra,dec,glon,glat,widwnm,sigwidwnm,tdwnm,sigtdwnm,nhicpn_wnm,signhicpn_wnm
J052810-650352,38791,82.044237,-65.064684,274.8535582511081,-33.14867974560777,17.707929492631155,0.7296968052425205,6854.656964783679,564.9244639603362,3.2114040538557598,0.1944585083973008
J054554-645334,38791,86.474979,-64.892786,274.4821012869679,-31.29362598637548,13.939744047249047,3.0734503322145974,4247.757905287541,1873.1008117397366,3.2575670023556156,0.5857588682970989
J051914-641335,38791,79.810593,-64.22664,273.9999370705663,-34.2033127107999,15.862046613873432,1.148024985117811,5500.074867985962,796.1423291927307,2.1885478642545477,0.27209498385367437
J052631-654906,38791,81.632961,-65.818477,275.7723272024515,-33.227525496863976,16.86172739276245,0.5932036746556608,6215.188215598885,437.3066177967428,2.796525308040032,0.14498922404686476
J052745-622515,38791,81.939169,-62.421,271.71128454587733,-33.45612323955795,18.25549917808238,1.7077056033599298,7285.134650267528,1362.9717973891381,3.171434165257055,0.2731363528178174
J051806-661639,38791,79.52669,-66.277598,276.46952875488466,-34.005176534164136,8.103467095389949,1.2207578742109564,1435.462672198238,432.4944717104635,1.7208465006823943,0.2711909544914583
J051806-661639,38791,79.52669,-66.277598,276.46952875488466,-34.005176534164136,13.302121920353605,1.5342238373102661,3868.049344185188,892.2566705182483,2.0544061293432905,0.3970069041664053
J053542-660156,38791,83.927867,-66.032249,275.90183313292346,-32.27353205334799,17.184759631861542,0.5293054886292305,6455.606964402196,397.67657760611024,3.6652086834300808,0.15080521521240572
J053542-660206,38791,83.928047,-66.035129,275.9052165565988,-32.273191418794426,17.341891432155776,0.543329438201326,6574.202598000659,411.94558484781896,3.4392251476576585,0.14460160695803245
J053544-660204,38791,83.933749,-66.034505,275.9042271040855,-32.27094341054377,17.910213866398585,0.5181690192115427,7012.158129779376,405.74424490606617,3.5841616413893242,0.1371342954235288
J053545-660145,38791,83.937505,-66.029263,275.89788672442864,-32.2699109485491,17.58234523090757,0.41444096598211805,6757.775563079366,318.5808258763665,3.474574010202105,0.11602008422797726
J053542-660145,38791,83.926642,-66.029427,275.89856466696904,-32.27428993356913,15.152352947057928,0.6494913905204839,5018.920464332221,430.2626321707717,2.8906811394961673,0.14075157981145772
J053547-660146,38791,83.949074,-66.02947,275.8976151910118,-32.26521187964578,17.30209166308178,0.3759402137021879,6544.061537560572,284.3790150713597,3.730692532018877,0.10594541193631407
J054105-630817,38791,85.272849,-63.138061,272.4483782679716,-31.88972022278401,3.9774077660211655,0.6449961002584952,345.82022766331175,112.1598344222442,2.875734267707966,0.49162405601802195
J054105-630817,38791,85.272849,-63.138061,272.4483782679716,-31.88972022278401,15.930162641336233,1.6339279327603173,5547.413987698222,1137.976412816476,1.2086954062607465,0.22865544836441748
J053106-654441,38791,82.776167,-65.74482,275.6189417287976,-32.770585325419084,17.339858816560493,0.4228893658760365,6572.66158459256,320.5918478380635,3.2898385619116675,0.11126636000214235
